Unnamed: 0,sentences,generated_labels
0,This device has a cathode inside an anode wire cage.,Not applicable
1,This product is almost always produced by the industrialized method.,Thing
2,It is named after Edward Singleton Holden.,Thing
3,It is north west of the regional centre of Clare.,Place
4,He was a nephew of Rear-Admiral Sir Francis Augustus Collier.,Person
5,Leaving for some darn camp in Mississippi.,Place
6,"While employed in this role, Johnson won the prestigious Robert F. Kennedy Award.",Label: Person
7,Samuel Lyons proceeded to subdivide Five Dock Farm into substantial estates.,Place
8,Where did it come from then?,"""Where did it come from then?"" - (not applicable)"
9,"Since then, three more have been abolished, leaving four.",Thing
10,"""Narwhal"" joined the Atlantic Torpedo Fleet, based at Newport, Rhode Island.",Place
11,The airline was later removed from the blacklist after complying with safety audits.,Thing
12,"The paper has the slogan ""Never Apologise, Never Explain!"".",Idea
13,He was born in Tokyo.,Place
14,You just shoot that.,not applicable
15,"Chen was a low profile talented scholar with a number of ""first"" accomplishments.",Person
16,The Fulshear City Council asked the county to name the library after Lutts.,Place
17,The Cascade Lakes Scenic Byway continues south along the west side of Mount Bachelor.,Place
18,Montgomerie was eliminated.,Person
19,"Depending on the time period and culture, the term can have several meanings.",not applicable
20,The objective of the game is to capture your opponent's king.,Idea
21,It is a producer of photovoltaic solar modules.,Thing
22,Population change chart of Chênedouit,Place
23,I have to be with my father.,"I'm sorry, but the sentence ""I have to be with my father"" does not fit into any of the provided labels."
24,In the dormitory where Beppe used to work they joked around almost always.,Place
25,It was reformist in nature and did not protest against Sanation authoritarianism or capitalism.,Idea
26,"Morrison stated that the current system is ""not fit for purpose"".",Idea
27,Crichton also served on Berkshire County Council.,Place
28,The cast included Gena Rowlands and Diane Lane.,Place
29,Many of its mineral reserves have yet to be fully tapped.,Not applicable
30,The Gatineau casino thus also serves Ottawa and Eastern Ontario.,Place
31,John Strachan and William Allan and moved to Toronto.,Place
32,Ringing is the result of overshoot caused by an underdamped circuit.,Idea
33,He was the son of Admiral Henrik Bielke.,Person
34,Johannes Terho was vice president of the Finnish Chess Federation.,Person
35,"She was also cast in ""Wild Guys"".",Thing
36,Douw was married three times.,Thing
37,Conger's mother is actress Susan Harrison.,Person
38,It is a skiing resort with modern skiing equipment.,Place
39,"He then asks Helmut to do his hammering ""with a little discretion"".",Thing
40,Jones refused and wrote about the incident on her website.,I will label the sentence as (Person).
41,A ripe plum is fit for a king's palate.,Thing
42,Karetu School is also a local primary school in the Kawakawa region.,Place
43,The location is between the towns of Jean and Primm.,Place
44,A colony of the Moravian Church was also founded in the same year.,Place
45,"During these dates, Fang begins to relate the tale of her friend's parents.","I would label the sentence with ""Thing."""
46,"He moved to Boston, where he became increasingly obsessed with his health.",Place
47,"After winning the election, Sharon needed to form a government in the Knesset.",Place
48,"The film was animated in both Britain and San Francisco, California.",Place
49,His alternative position was wing.,This sentence is labeled as (not applicable).
50,"As a solo performer, he later released two albums.",Thing.
51,The first and most widely used tracers are sunspots.,Thing
52,"They're going to get penalized for it, but So what?","I would label this sentence as ""Idea,"" as it is discussing a concept or principle rather than identifying a person, place, or thing."
53,The game had changed by the time the first Spanish settlers arrived.,Idea
54,Some Indian Pattern cars saw use in the Indian subcontinent and Burma.,Thing
55,"Before the grain can be used, the husks must be removed.",Thing
56,"For thousands of years, Native American tribes inhabited this region.",Place
57,"Therefore, transitivity is semantically valid without any constraints.",I would label the given sentence as (Idea).
58,"Nevertheless, the inhabitants decided to improve their farming techniques and started making terraces.",Idea
59,"For more detail, see the article in the ""Anchor Bible Dictionary"".","I'm unable to classify sentences with labels as ""Person, Place, Thing, Idea"" without additional context or the sentences themselves. If you provide me with sentences or specific text, I will be happy to assist you in categorizing them accordingly."
60,Its county seat is Murphy.,Place
61,"Tom sleeps with the queen, Celia, but is compelled to return to his quest.",Idea
62,"It was named for Cleora Ann Lunday, sister of the postmaster, Ed Lunday.",Person
63,The control tower has been recorded as being haunted.,Place
64,It is also sometimes prepared for wedding banquets.,Place
65,Toliver also proves important in Hawk-Owl's origin later on in the series.,"I would label this sentence as ""Idea."""
66,"However, both creatures were fond of pranks and misleading people.",Idea
67,The song is played only to the chorus.,"I would label this sentence as ""Thing."""
68,"Additional local programming is planned, including some previously aired on the college's cable channel.",Thing
69,Today there is an arena in London named for him.,Place
70,The record label draws its name from notorious drug lord Griselda Blanco.,Idea
71,The vehicles sold there would be used for luxury taxi operations.,Thing
72,He created what grew into the beacon service and the hydrographic services.,Thing
73,"Classmates called her ""Baby"" since she was the youngest girl.",Thing
74,Ionikos Nikaias clinched the championship by winning the regular season.,Idea
75,Its provisional seat was located in Kovel.,Place
76,Wylie Collegiate Professor of Civil Engineering at the University of Michigan.,Person
77,Among them include President of Singapore Halimah Yacob.,Person
78,The famous straight is often called the Mulsanne Straight in English.,Place
79,These positions are not held for the duration of a skydive.,N/A
80,Both boys also frequently worked as farm laborers to supplement their allowance.,Thing
81,"Meanwhile, Ms. Choksondik dies and Cartman, Kyle and Stan think that they are responsible.",I would label the sentence as (Idea).
82,The economic climate has improved.,Idea
83,The old man laid down his hand to light a cigar.,1. Person
84,It has a million megapixels.,Thing
85,He is driving it in broad daylight.,Not applicable.
86,Police knew that Edward owned the items and did not want them seized.,Thing
87,Eyton.,"1. The Eiffel Tower is located in Paris. (Place)
2. Love is a wonderful feeling. (Idea)
3. Dogs make great companions. (Thing)
4. John is going to the store. (Person)
5. Eyton is a unique name. (Not applicable)"
88,It was built by people associated with the railroads in Macon.,Place
89,Harkness and it was named Dingo Beach.,Place
90,The incident was blamed on a software glitch.,Idea
91,"In some other parts of the temple, however, the emperor is simply called ""Pharaoh"".",Idea
92,They also divorced.,not applicable
93,The energy from the Sun is an example of this form of energy conversion.,Idea
94,It is the capital of Vatovavy-Fitovinany Region.,Place
95,"No reason, however, was given as to the change of birth years.",(not applicable)
96,The destroyer had a busy July.,Thing
97,She is more popular in South Korea than in Japan.,Idea
98,David B. and Lewis Trondheim.,Thing
99,"The legs are straight, and the toes and feet are pointed.",Thing
100,The great Mughal Akbar decided to invade Mandu and capture Roopmati and Baz Bahadur.,Place
101,"She was married to Captain James Pinson Labulo Davies, a wealthy Victorian Lagos philanthropist.",Person
102,"Glass also based his earlier Low Symphony on the David Bowie album, ""Low"".",Thing
103,McAskill was declared elected to the third position.,Thing
104,Chicot the Jester is a character in the novel.,Person
105,The origin of this extremely unusual feature is as yet unknown.,Idea
106,The southern portion of the department drops away towards the Pacific coast.,Place
107,"""Sonny's Dream"" featured arrangements by Horace Tapscott.",Place
108,Jack London worked in a jute mill before becoming a successful writer.,Person
109,Many huts are hosted and also offer sleeping accommodations.,Place
110,"Witten was born in Baltimore, Maryland, to a Jewish family.",Person
111,"Mechanical, pneumatic, hydraulic, and other systems may also use analogue signals.","I would label the sentence as ""Idea."""
112,The Bureau of Reclamation clear cut and cleaned the lake bottom before it filled.,Place
113,Married couples leave their patrilocal extended household only after several children are born.,Thing
114,The Coster family valued education.,Idea
115,"“No, I won’t dance,” she said softly.",Idea
116,"No, but you are a Roman Catholic?",Not applicable
117,In theology he was a follower of Joseph Ratzinger's theories.,Idea
118,Both brothers attended Wellington College.,Person
119,They usually cater to sub-regional markets of larger metropolitan areas.,Idea
120,The Fogle Flats are townhouses available to seniors.,Place
121,They will often have a difficult time getting to sleep or staying asleep.,"I would label the sentence as ""Idea."""
122,Sneaker Pimps' version begins with a short sound clip from the movie.,Thing
123,"This was described as a tourism, leisure and retail attraction.",Idea
124,All figures below are provided by the Centre for Land Warfare Studies.,Idea
125,"She too later appeared in ""The Wildcats"" film, this time as a teacher.",This sentence can be labeled as (Thing).
126,Early settlers were primarily Palatine Germans.,Place
127,The cause of extinction is unknown.,"I would label the sentence as ""Idea,"" as it discusses a concept or thought rather than a person, place, or thing."
128,"It was released in Japan under the title ""Gungriffon: The Eurasian Conflict"".",Thing
129,Diaz is also a Curtis alumnus and faculty member.,Person
130,A black pearl stolen from an Indian idol is reputedly cursed.,Thing
131,He serves as an officer in the Air National Guard.,Person
132,Kroh married twice.,This sentence would be labeled as (Person).
133,The main focus after the foundation was gymnastics.,"I would label the sentence as ""Idea."""
134,Sweetwater High School is part of Monroe County Schools.,Place
135,These had body color bumpers.,Thing
136,"Thomson died at his estate in Swampscott, Massachusetts.",Place
137,"After these events, he began to actually construct his first dolls.",Thing
138,The cities of Fenton and Linden were formed from areas formerly within the township.,Place
139,"The closest larger centres to Alameda are Estevan, Weyburn, Regina, and Minot, North Dakota.",Place
140,Los Angeles became the capital of the film industry.,Idea
141,"""The Blueprint"" received rave reviews from critics.",Idea
142,This plank was made for walking on.,Thing
143,"We have recovered most of the deleted files, but some are still being processed.",Thing
144,They are also capable of delivering much higher acceleration and shorter takeoffs.,"I would label the sentence as a ""Thing."""
145,Newspapers from Australia and Israel even pictured the mayor with his hair ablaze.,Thing
146,"When I need a new album to listen to, I make one.",Idea
147,Using an incompressible fluid increases system rigidity and reduces compliant behavior.,Idea
148,The town of Panama moved to the crossing of the two railroads.,Place
149,Driesch developed a deep interest in Psychical Research and Parapsychology.,Idea
150,Such buttons were often mounted on a patch of coloured cloth or gold embroidery.,Thing
151,But their lives are not sacred.,I would label the sentence as an Idea.
152,That’s music to my ears!,not applicable
153,There he got unconscious.,Person
154,Robert Rex was the team captain.,Person
155,Very little is known about the life of the artist.,"I would label this sentence with ""Idea"" as it is talking about the concept of the amount of knowledge available about the life of the artist."
156,Over the shield there is golden crown.,Place
157,It was the first of four election victories in a row for Taschereau.,Idea
158,It is also used in the evening to protect the hay from morning dew.,Thing
159,He attended Franklin High School in Stockton.,Place
160,"Large mammal surveys continue to take place in Cambodia, hoping to rediscover living kouprey.",Place
161,"It has a summit over long, thus ""Broad Peak"".",Place
162,"The word Islam Hadhari consists of two words, Islam and Hadhari.",Idea
163,"When she used color, however, Zeisler gravitated towards red.",Idea
164,He went to college at Alabama.,Place
165,Past winners include other local hockey players Andrew Raycroft and Andrew Shaw.,Thing
166,The song is partly in Spanish and features vocals from Colombian singer Maluma.,Person
167,"Contemporaries described ""Monty"" as the ""grand old man"" of Connecticut Agricultural College.",Thing
168,The policemen took Kiselyov straight to the police office in the presence of journalists.,Place
169,Italy and Germany shared the silver medal on second place.,Thing
170,This is the only of this name in the United States.,Place
171,Solar panels and recycled asphalt were incorporated to make the structure more environmentally friendly.,Thing
172,"""Brae"" is the Lowland Scots word for the slope or brow of a hill.",Idea
173,"Katherine brought her four children Edward, Arthur, Katherine and Ann to the marriage.",Person
174,"The name ""Baidicheng"" literally means White Emperor City.",Place
175,Another cause of brittleness is the use of data structures that restrict values.,Idea
176,A stent was fitted to open up the blockages.,Thing
177,We appreciate your cooperation Mr Doe.,Person
178,A kind of angry smile just dawns upon her face.,Idea
179,It is twenty-five minutes after its time this afternoon.,(not applicable)
180,The Heritage Museum of Northwest Florida is located in Valparaiso.,Place
181,Hallbeck had previously been a guest illustrator for over a year.,Not applicable.
182,"They are often narrow circular rings made from metal, or less commonly, plastic.",Thing
183,Computer keyboards contain membranes with printed circuits that sense when a key is pressed.,Thing
184,The station also airs community announcements for no fee.,Place
185,"Following the Hellmouth's closure, hundreds of potential slayers have been awakened.",I would label the sentence as an Idea.
186,"When heated before the blowpipe it decrepitates violently, breaking up into white pearly scales.",Thing
187,The king goes to see and find the leper there.,Place
188,Later Maria Theresa arranged for it to be rebuilt in late Baroque style.,Place
189,His first education was in the field of medicine.,Idea
190,Bibi was wounded and died of her injuries in the hospital emergency room.,Place
191,He is thought to have died in the battle for Staraya Russa.,Place
192,As a solo artist he writes all his songs.,"I would label this sentence as (Person), referring to the solo artist mentioned."
