ID,sentences
0,This device has a cathode inside an anode wire cage.
1,This product is almost always produced by the industrialized method.
2,It is named after Edward Singleton Holden.
3,It is north west of the regional centre of Clare.
4,He was a nephew of Rear-Admiral Sir Francis Augustus Collier.
5,Leaving for some darn camp in Mississippi.
6,"While employed in this role, Johnson won the prestigious Robert F. Kennedy Award."
7,Samuel Lyons proceeded to subdivide Five Dock Farm into substantial estates.
8,Where did it come from then?
9,"Since then, three more have been abolished, leaving four."
10,"""Narwhal"" joined the Atlantic Torpedo Fleet, based at Newport, Rhode Island."
11,The airline was later removed from the blacklist after complying with safety audits.
12,"The paper has the slogan ""Never Apologise, Never Explain!""."
13,He was born in Tokyo.
14,You just shoot that.
15,"Chen was a low profile talented scholar with a number of ""first"" accomplishments."
16,The Fulshear City Council asked the county to name the library after Lutts.
17,The Cascade Lakes Scenic Byway continues south along the west side of Mount Bachelor.
18,Montgomerie was eliminated.
19,"Depending on the time period and culture, the term can have several meanings."
20,The objective of the game is to capture your opponent's king.
21,It is a producer of photovoltaic solar modules.
22,Population change chart of Chênedouit
23,I have to be with my father.
24,In the dormitory where Beppe used to work they joked around almost always.
25,It was reformist in nature and did not protest against Sanation authoritarianism or capitalism.
26,"Morrison stated that the current system is ""not fit for purpose""."
27,Crichton also served on Berkshire County Council.
28,The cast included Gena Rowlands and Diane Lane.
29,Many of its mineral reserves have yet to be fully tapped.
30,The Gatineau casino thus also serves Ottawa and Eastern Ontario.
31,John Strachan and William Allan and moved to Toronto.
32,Ringing is the result of overshoot caused by an underdamped circuit.
33,He was the son of Admiral Henrik Bielke.
34,Johannes Terho was vice president of the Finnish Chess Federation.
35,"She was also cast in ""Wild Guys""."
36,Douw was married three times.
37,Conger's mother is actress Susan Harrison.
38,It is a skiing resort with modern skiing equipment.
39,"He then asks Helmut to do his hammering ""with a little discretion""."
40,Jones refused and wrote about the incident on her website.
41,A ripe plum is fit for a king's palate.
42,Karetu School is also a local primary school in the Kawakawa region.
43,The location is between the towns of Jean and Primm.
44,A colony of the Moravian Church was also founded in the same year.
45,"During these dates, Fang begins to relate the tale of her friend's parents."
46,"He moved to Boston, where he became increasingly obsessed with his health."
47,"After winning the election, Sharon needed to form a government in the Knesset."
48,"The film was animated in both Britain and San Francisco, California."
49,His alternative position was wing.
50,"As a solo performer, he later released two albums."
51,The first and most widely used tracers are sunspots.
52,"They're going to get penalized for it, but So what?"
53,The game had changed by the time the first Spanish settlers arrived.
54,Some Indian Pattern cars saw use in the Indian subcontinent and Burma.
55,"Before the grain can be used, the husks must be removed."
56,"For thousands of years, Native American tribes inhabited this region."
57,"Therefore, transitivity is semantically valid without any constraints."
58,"Nevertheless, the inhabitants decided to improve their farming techniques and started making terraces."
59,"For more detail, see the article in the ""Anchor Bible Dictionary""."
60,Its county seat is Murphy.
61,"Tom sleeps with the queen, Celia, but is compelled to return to his quest."
62,"It was named for Cleora Ann Lunday, sister of the postmaster, Ed Lunday."
63,The control tower has been recorded as being haunted.
64,It is also sometimes prepared for wedding banquets.
65,Toliver also proves important in Hawk-Owl's origin later on in the series.
66,"However, both creatures were fond of pranks and misleading people."
67,The song is played only to the chorus.
68,"Additional local programming is planned, including some previously aired on the college's cable channel."
69,Today there is an arena in London named for him.
70,The record label draws its name from notorious drug lord Griselda Blanco.
71,The vehicles sold there would be used for luxury taxi operations.
72,He created what grew into the beacon service and the hydrographic services.
73,"Classmates called her ""Baby"" since she was the youngest girl."
74,Ionikos Nikaias clinched the championship by winning the regular season.
75,Its provisional seat was located in Kovel.
76,Wylie Collegiate Professor of Civil Engineering at the University of Michigan.
77,Among them include President of Singapore Halimah Yacob.
78,The famous straight is often called the Mulsanne Straight in English.
79,These positions are not held for the duration of a skydive.
80,Both boys also frequently worked as farm laborers to supplement their allowance.
81,"Meanwhile, Ms. Choksondik dies and Cartman, Kyle and Stan think that they are responsible."
82,The economic climate has improved.
83,The old man laid down his hand to light a cigar.
84,It has a million megapixels.
85,He is driving it in broad daylight.
86,Police knew that Edward owned the items and did not want them seized.
87,Eyton.
88,It was built by people associated with the railroads in Macon.
89,Harkness and it was named Dingo Beach.
90,The incident was blamed on a software glitch.
91,"In some other parts of the temple, however, the emperor is simply called ""Pharaoh""."
92,They also divorced.
93,The energy from the Sun is an example of this form of energy conversion.
94,It is the capital of Vatovavy-Fitovinany Region.
95,"No reason, however, was given as to the change of birth years."
96,The destroyer had a busy July.
97,She is more popular in South Korea than in Japan.
98,David B. and Lewis Trondheim.
99,"The legs are straight, and the toes and feet are pointed."
100,The great Mughal Akbar decided to invade Mandu and capture Roopmati and Baz Bahadur.
101,"She was married to Captain James Pinson Labulo Davies, a wealthy Victorian Lagos philanthropist."
102,"Glass also based his earlier Low Symphony on the David Bowie album, ""Low""."
103,McAskill was declared elected to the third position.
104,Chicot the Jester is a character in the novel.
105,The origin of this extremely unusual feature is as yet unknown.
106,The southern portion of the department drops away towards the Pacific coast.
107,"""Sonny's Dream"" featured arrangements by Horace Tapscott."
108,Jack London worked in a jute mill before becoming a successful writer.
109,Many huts are hosted and also offer sleeping accommodations.
110,"Witten was born in Baltimore, Maryland, to a Jewish family."
111,"Mechanical, pneumatic, hydraulic, and other systems may also use analogue signals."
112,The Bureau of Reclamation clear cut and cleaned the lake bottom before it filled.
113,Married couples leave their patrilocal extended household only after several children are born.
114,The Coster family valued education.
115,"“No, I won’t dance,” she said softly."
116,"No, but you are a Roman Catholic?"
117,In theology he was a follower of Joseph Ratzinger's theories.
118,Both brothers attended Wellington College.
119,They usually cater to sub-regional markets of larger metropolitan areas.
120,The Fogle Flats are townhouses available to seniors.
121,They will often have a difficult time getting to sleep or staying asleep.
122,Sneaker Pimps' version begins with a short sound clip from the movie.
123,"This was described as a tourism, leisure and retail attraction."
124,All figures below are provided by the Centre for Land Warfare Studies.
125,"She too later appeared in ""The Wildcats"" film, this time as a teacher."
126,Early settlers were primarily Palatine Germans.
127,The cause of extinction is unknown.
